id;course_id;course_name
1;fbdd8b44-6687-4a5f-8131-621c33b042ee;recontextualize navigate
2;51f1fd9b-a186-4a3d-8629-0df736ce6754;Baleares
3;d73eb23d-8af1-41d1-be26-804641a146b1;Calidad auxiliary
4;9095a109-7d7a-4c4a-a8b8-1538eabe4e5a;Avon Coche
5;4a63da5d-4ace-49cc-9d19-28ff9a301a25;Papelería local SMS
6;1bf05e61-3522-4ccb-8fcb-ef07ab0a2547;Bricolaje
7;6ca5c09d-97dd-49d4-86d3-604a3bf4fc2b;Nacional
8;99997067-3428-4c60-b7e2-54e64645f401;Interacciones asíncrona
9;f8d95393-fd2f-4b75-a522-b9e31c3837d1;Buckinghamshire functionalities habilidad
10;147cab87-f227-4671-97e2-4eb05003c162;navigating Blanco
